John Mylopoulos,Hsinchun Chen,Diego Calvanese,C. Lee Giles,Wil M. P. van der Aalst,Lois M. L. Delcambre,Boualem Benatallah,Wei-Ying Ma,Philip S. Yu,Elisa Bertino,
Kaushik Roy 0001,Mahmut T. Kandemir,Sudhakar M. Reddy,Irith Pomeranz,Mario Gerla,Francky Catthoor,Luca Benini,Manfred Glesner,Wayne Luk,Rolf Drechsler,
Emilio Luque,Ian T. Foster,Jack J. Dongarra,Marian Bubak,Dhabaleswar K. Panda,Vaidy S. Sunderam,Jess Labarta,Thomas Fahringer,Thomas Ertl,Mark D. Fairchild,
Edwin R. Hancock,Thomas S. Huang,Wen Gao 0001,Hans-Peter Seidel,Josef Kittler,HongJiang Zhang,Luc J. Van Gool,Anil K. Jain 0001,Bernd Girod,C.-C. Jay Kuo,
Hermann Ney,Maarten de Rijke,Nicholas R. Jennings,Hitoshi Isahara,Barry Smyth,Alex Waibel,Hsin-Hsi Chen,Michael Wooldridge,Tuomas Sandholm,Mark A. Musen,
Jos Duato,Minglu Li 0001,Dhabaleswar K. Panda,Hyunseung Choo,Hai Jin,Hong Shen,Youngsong Mun,Mahmut T. Kandemir,Weimin Zheng,Alok N. Choudhary,
Mario Piattini,Jay F. Nunamaker Jr.,Gert-Jan de Vreede,Hsinchun Chen,Robert O. Briggs,Robert J. Kauffman,Frank Maurer,Dickson K. W. Chiu,Andrew Lim,Patrick C. K. Hung,
Michael D. Ernst,Michel Raynal,Laurie J. Hendren,Rachid Guerraoui,Mary Jean Harrold,Nancy A. Lynch,Kevin J. Sullivan,Don S. Batory,Maurice Herlihy,Alexander A. Shvartsman,
David Goldsman,Amin Vahdat,Barry L. Nelson,Peter Druschel,Gregory R. Ganger,M. Frans Kaashoek,Shankar Sastry,Pierre L'Ecuyer,Valrie Issarny,Robert Tappan Morris,
Moti Yung,Hideki Imai,Bart Preneel,Reihaneh Safavi-Naini,Colin Boyd,Sushil Jajodia,Feng Bao 0001,David A. Wagner 0001,Jean-Jacques Quisquater,Willy Susilo,
Jinxiang Dong,Giuliano Antoniol,Richard C. Holt,Mario Piattini,Yingxu Wang,Kostas Kontogiannis,Stphane Ducasse,Minoru Asada,Jano Moreira de Souza,Peter Stone,
Erik D. Demaine,S. Muthukrishnan,Moshe Y. Vardi,Divesh Srivastava,Thomas A. Henzinger,Pankaj K. Agarwal,Surajit Chaudhuri,Hans-Peter Kriegel,Jiawei Han 0001,Nick Koudas,
Philip S. Yu,Jiawei Han 0001,Katsumi Tanaka,Hans-Peter Kriegel,Masaru Kitsuregawa,Eamonn J. Keogh,Christos Faloutsos,Elke A. Rundensteiner,Tok Wang Ling,Bing Liu 0001,
Fabio Patern,Jean Vanderdonckt,Hiroshi Ishii 0001,Stephen A. Brewster,Mary Czerwinski,Carl Gutwin,James A. Landay,Brad A. Myers,Steve Benford,Elizabeth D. Mynatt,
Licheng Jiao,Chin-Chen Chang 0001,Lakhmi C. Jain,Tsu-Tian Lee,Hisao Ishibuchi,Sifeng Liu,Minoru Fukumi,Takumi Ichimura,Jeng-Shyang Pan,Jos C. Prncipe,
