CIKM,DG.O,WWW,SEBD,ICDE,VLDB,SIGIR,SIGMOD Conference,ER,KDD,
ICRA,IROS,GLOBECOM,ICC,DATE,DAC,PIMRC,WCNC,INFOCOM,ISCAS,
IPDPS,Euro-Par,SC,PVM/MPI,CCGRID,IEEE Visualization,Color Imaging Conference,HPDC,CLUSTER,PDP,
ICME,ICIP,EUSIPCO,ICCV,ICIP (3),ICIP (2),ICASSP,ICIP (1),ICPR,CVPR,
INTERSPEECH,AMIA,AAMAS,LREC,IJCAI,ICASSP,ICASSP (1),TREC,ACL,SIGIR,
IPDPS,PDPTA,ICPP,Euro-Par,GCC,SC,PDCAT,CCGRID,ICCSA (2),CLUSTER,
HICSS,SIGCSE,JISBD,AMCIS,SAC,SEKE,ITiCSE,WebNet,IEA/AIE,AAMAS,
ICSE,PODC,ASE,OOPSLA Companion,DISC,IPDPS,OOPSLA,CAV,ICSM,PLDI,
Winter Simulation Conference,ICDCS,INFOCOM,IPDPS,COMPSAC,GLOBECOM,ICSE,HSCC,SAC,ICC,
ACISP,ASIACRYPT,EUROCRYPT,CRYPTO,Public Key Cryptography,ACM Conference on Computer and Communications Security,FSE,ICISC,ICICS,INDOCRYPT,
SAC,RoboCup,ICSM,ICSE,CSCWD,SMC,IROS,APSEC,DEXA Workshops,ECOOP Workshops,
SODA,VLDB,ICDE,SIGMOD Conference,STOC,FOCS,ICALP,ESA,Symposium on Computational Geometry,ISAAC,
KDD,ICDM,ICDE,VLDB,DEXA,CIKM,PAKDD,SIGMOD Conference,SDM,DASFAA,
ICASSP,CHI Extended Abstracts,INTERSPEECH,CHI,EUSIPCO,NIPS,ICML,ICME,INTERACT,UAI,
IGARSS,SMC,ICASSP,FUZZ-IEEE,IJCNN,EUSIPCO,ICME,INTERSPEECH,KES,ICASSP (4),
